major_id,专业名,学院,教育层次,是否含子轨道,子轨道数,top_industry_name,top_industry_score,top_industries_str,industry_names,industries_json
M_010,软件技术,计算机与软件学院,高职专科,True,4,信息技术,98,信息技术(98),信息技术,"[{""name"": ""信息技术"", ""score"": 98, ""reason"": ""培养目标明确面向'软件和信息技术服务领域'，涵盖云软件开发、Web应用开发、Java开发、AI应用开发、软件测试等核心技术方向；课程体系包含前后端分离开发、云原生技术、AI辅助开发等；与国家信息中心、Google Android、华为、腾讯、软通动力等信息技术企业深度合作；国家级职业教育教师教学创新团队首批入选。""}]"
M_011,智能互联网络技术,信息与通信学院,高职专科,True,1,信息技术,90,信息技术(90) | 通信设备(85),信息技术|通信设备,"[{""name"": ""信息技术"", ""score"": 90, ""reason"": ""培养目标面向'信息与通信行业'，涵盖智能硬件工程师、智能网络工程师、移动应用与云应用工程师等职业方向；核心技术涉及5G通信、物联网、大数据、人工智能等新一代信息技术；课程涵盖智能终端应用开发、云计算平台开发；与华为共建ICT学院、鲲鹏产业学院，与三大运营商（中联通、中移动、中电信）及中兴通讯建立校外实训基地。""}, {""name"": ""通信设备"", ""score"": 85, ""reason"": ""专业名称'智能互联网络技术'体现通信网络技术属性；培养目标明确指向信息与通信行业；核心技术包括5G通信、智能网络设备开发与运维；合作企业包括华为、中兴通讯等通信设备龙头企业，以及联通、移动、电信等通信运营商；实训平台围绕通信岗位移动、数据、交换和传输四大关键系统建设。""}]"
M_012,汽车智能技术,信息与通信学院,高职专科,True,1,汽车,95,汽车(95) | 信息技术(75) | 机械设备(50),汽车|信息技术|机械设备,"[{""name"": ""汽车"", ""score"": 95, ""reason"": ""培养目标明确指向智能网联汽车及新能源汽车行业，核心课程涵盖智能传感器、计算平台、线控底盘、智能座舱、车路协同等汽车智能技术全产业链，实习实训涉及智能驾驶、车路协同等汽车领域。""}, {""name"": ""信息技术"", ""score"": 75, ""reason"": ""涉及车联网运行维护、智能产品开发、数据分析等技术技能，涵盖V2X通信、嵌入式系统等信息技术领域，属于汽车与信息技术深度融合的交叉领域。""}, {""name"": ""机械设备"", ""score"": 50, ""reason"": ""涉及线控底盘系统、传感器装调、机电一体化等内容，与汽车电子机械设备相关，但非主体培养方向。""}]"
M_013,物联网应用技术,信息与通信学院,高职专科,True,1,信息技术,95,信息技术(95) | 通信设备(60) | 商业服务(45),信息技术|通信设备|商业服务,"[{""name"": ""信息技术"", ""score"": 95, ""reason"": ""培养目标直接面向物联网工程和信息系统集成，核心课程涵盖传感器、嵌入式开发、无线网络、物联网平台开发等信息技术核心内容，与华为、新大陆等头部信息技术企业深度合作。""}, {""name"": ""通信设备"", ""score"": 60, ""reason"": ""涉及无线网络通信技术、感知节点等物联网通信基础设施，属于信息技术与通信设备的交叉领域，但以软件开发和系统集成为主。""}, {""name"": ""商业服务"", ""score"": 45, ""reason"": ""涉及物联网运维管理、技术支持等生产性服务业，但非主要培养方向。""}]"
M_014,现代移动通信技术,信息与通信学院,高职专科,True,2,通信设备,95,通信设备(95) | 信息技术(70) | 机械设备(35),通信设备|信息技术|机械设备,"[{""name"": ""通信设备"", ""score"": 95, ""reason"": ""培养目标直接面向移动通信和5G行业，核心课程涵盖5G通信技术、网络规划与优化、基站安装维护等，与华为、中兴、联通、移动、电信等主流通信运营商和设备商深度合作。""}, {""name"": ""信息技术"", ""score"": 70, ""reason"": ""涉及大数据、云计算、物联网、人工智能等新兴技术应用，涵盖移动应用开发、通信数据分析等信息技术技能。""}, {""name"": ""机械设备"", ""score"": 35, ""reason"": ""涉及通信硬件设备安装调试、电子电路测试等，但主要服务于通信设备领域，非独立行业方向。""}]"
M_015,智能产品开发与应用,微电子学院,高职专科,False,0,信息技术,88,信息技术(88) | 机械设备(52) | 电力设备(35),信息技术|机械设备|电力设备,"[{""name"": ""信息技术"", ""score"": 88, ""reason"": ""培养目标明确指向'新一代信息技术行业'的软硬件工程岗位；核心课程涵盖电子电路、C语言、单片机、Altium PCB设计、EDA软件等软硬件开发技能；参与企业包括小米移动软件、富士康，均为电子信息制造业骨干；毕业生从事智能产品设计开发、装调、运维，覆盖物联网与嵌入式终端全产业链。""}, {""name"": ""机械设备"", ""score"": 52, ""reason"": ""智能产品开发涉及产品装调工艺和硬件测试仪器操作能力，与智能装备制造存在交叉；但该专业侧重终端产品设计而非装备本身，关联度次之。""}, {""name"": ""电力设备"", ""score"": 35, ""reason"": ""电子电路设计与智能产品开发涉及基础电力电子技术，但专业未明确指向电力装备制造或电力系统运维，覆盖面较窄。""}]"
M_016,智能光电技术应用,微电子学院,高职专科,False,0,信息技术,85,信息技术(85) | 机械设备(58) | 电力设备(45),信息技术|机械设备|电力设备,"[{""name"": ""信息技术"", ""score"": 85, ""reason"": ""培养目标明确面向'计算机、通信和其他电子设备制造行业'；核心课程覆盖LED显示屏控制系统设计、嵌入式开发（STM32/ESP32）、物联网通信技术（蓝牙/WiFi/Zigbee）、光学仿真软件（Zemax/TracePro）；合作企业聚飞光电为LED封装上市企业；就业岗位包括LED显示屏系统设计调试、照明控制系统开发。""}, {""name"": ""机械设备"", ""score"": 58, ""reason"": ""光学元件精密加工、镀膜与封装设备的操作维护、光电器件生产线管理涉及专用机械设备；学校建有光电器件封装与测试人才培养示范基地，配备镀膜设备、封装生产线。""}, {""name"": ""电力设备"", ""score"": 45, ""reason"": ""LED照明设计与智能调光系统涉及电力驱动与照明控制，属于电力设备与照明电器的交叉领域；但该专业核心仍是光电显示与光学元件制造。""}]"
M_017,集成电路技术,微电子学院,高职专科,True,1,信息技术,92,信息技术(92) | 机械设备(42) | 电力设备(28),信息技术|机械设备|电力设备,"[{""name"": ""信息技术"", ""score"": 92, ""reason"": ""培养目标直接指向集成电路设计、芯片设计、封装与测试、智能芯片应用；课程体系覆盖IC前端设计（硬件描述语言）、后端设计（版图设计CAD）、FPGA开发、集成电路封装与测试；与Xilinx、Altera共建联合实训室；深圳专精特新'小巨人'中半导体/集成电路设计企业密集。""}, {""name"": ""机械设备"", ""score"": 42, ""reason"": ""芯片封装测试涉及ATE测试机台、微光显微镜等精密设备操作；封装设计与工艺选择需理解设备能力；与信息技术相比，机械设备属性较弱。""}, {""name"": ""电力设备"", ""score"": 28, ""reason"": ""芯片测试中涉及部分功率器件测试，但整体聚焦集成电路设计-制造-封测全链条，非电力设备制造直接对口。""}]"
M_018,云计算技术应用,人工智能学院,高职专科,True,1,信息技术,95,信息技术(95) | 商业服务(55) | 公用事业(40),信息技术|商业服务|公用事业,"[{""name"": ""信息技术"", ""score"": 95, ""reason"": ""培养目标明确指向云计算、云服务、互联网等信息技术核心领域；职业岗位包括云计算工程师、云计算运维工程师、云技术支持工程师，均属于信息技术行业的关键技术岗位；核心技术技能涵盖虚拟化技术、云原生技术、云安全、云平台部署运维，完整覆盖云计算产业链；课程体系围绕云平台服务配置与运维展开，与深圳专精特新企业中的软件和信息技术服务业高度契合。""}, {""name"": ""商业服务"", ""score"": 55, ""reason"": ""云计算作为数字化基础设施服务可支撑商业服务企业的数字化转型，但非直接服务行业；培养目标中提及的云服务运营、云资源管理等可间接服务各类商业企业。""}, {""name"": ""公用事业"", ""score"": 40, ""reason"": ""云平台运维技能可应用于智慧城市、水务、燃气等公用事业领域的数字化建设，但属于边缘应用场景，置信度较低。""}]"
M_019,人工智能技术应用,人工智能学院,高职专科,True,1,信息技术,92,信息技术(92) | 医药生物(78) | 机械设备(62),信息技术|医药生物|机械设备,"[{""name"": ""信息技术"", ""score"": 92, ""reason"": ""培养目标直接面向AI应用开发、智能系统运维等信息技术核心岗位；核心技术涵盖机器学习、深度学习、自然语言处理、大模型应用开发等人工智能前沿技术；合作企业包括百度、火山引擎、商汤科技等头部AI企业；课程体系覆盖算法开发、工程部署、产品交付全链条，与深圳AI及软件信息服务企业高度匹配。""}, {""name"": ""医药生物"", ""score"": 78, ""reason"": ""培养目标明确提及医疗健康行业及医疗影像智能诊断方向；核心能力包括医疗影像智能诊断、多模态大模型在医疗领域的应用；行业知识要求中涵盖大模型在各行业的应用场景包括医疗；可服务深圳医疗器械、生物医药等专精特新企业。""}, {""name"": ""机械设备"", ""score"": 62, ""reason"": ""培养目标提及工业视觉检测方向；AI应用开发能力可支撑智能制造领域的机器视觉、缺陷检测等应用；深圳专精特新企业中包含高端装备制造企业，需要AI视觉检测技术人才。""}]"
M_020,大数据技术,人工智能学院,高职专科,True,1,信息技术,96,信息技术(96) | 商业服务(58) | 金融(45),信息技术|商业服务|金融,"[{""name"": ""信息技术"", ""score"": 96, ""reason"": ""培养目标明确指向大数据行业，数据分析师、大数据应用开发工程师、大数据平台运维工程师均属于信息技术核心岗位；核心技术涵盖Hadoop生态圈、数据采集清洗分析可视化、大数据平台架构设计；课程覆盖大数据全产业链技术；与深圳软件和信息技术服务业、互联网数据服务企业高度契合。""}, {""name"": ""商业服务"", ""score"": 58, ""reason"": ""行业知识要求涵盖金融、医疗、制造、政务等领域的场景需求；数据分析能力可广泛应用于各类商业服务企业的经营分析、用户画像、精准营销等场景。""}, {""name"": ""金融"", ""score"": 45, ""reason"": ""大数据技术在金融行业应用广泛（风控、量化、用户分析等），深圳金融科技专精特新企业有一定分布，但培养方案中未明确提及金融行业。""}]"
M_021,广播影视节目制作,数字媒体学院,高职专科,False,0,文化传媒,92,文化传媒(92) | 信息技术(58) | 商业服务(42),文化传媒|信息技术|商业服务,"[{""name"": ""文化传媒"", ""score"": 92, ""reason"": ""培养目标明确指向广播、电视、电影、网络视听、新媒体行业，核心岗位涵盖策划、剪辑、摄像、运营等影视全产业链，与文化传媒行业企查查口径完全吻合。课程设置涵盖影视摄像、商业剪辑、后期特效、短视频制作、新媒体运营等，精准对应影视内容生产与传播运营环节。""}, {""name"": ""信息技术"", ""score"": 58, ""reason"": ""新媒体内容生产与传播运营涉及数字化技术，但核心技术聚焦于影视制作而非信息技术开发，虽有短视频制作等数字内容课程，但主体属于传媒领域而非IT行业。""}, {""name"": ""商业服务"", ""score"": 42, ""reason"": ""影视内容制作属于文化创意服务范畴，部分岗位如策划、运营可归入商务服务业，但主体产业归属文化传媒更为准确。""}]"
M_022,数字媒体技术,数字媒体学院,高职专科,True,1,信息技术,88,信息技术(88) | 文化传媒(78) | 商贸零售(35),信息技术|文化传媒|商贸零售,"[{""name"": ""信息技术"", ""score"": 88, ""reason"": ""培养目标面向互联网和数字展示行业，核心岗位包括前端开发工程师、虚幻工程师、互动技术工程师，课程涵盖Web前端开发、虚幻引擎开发、多终端交互界面设计等IT技术栈，专任教师具有IT行业背景并参与软件开发，与信息技术行业高度匹配。""}, {""name"": ""文化传媒"", ""score"": 78, ""reason"": ""同时面向数字媒体内容制作、新媒体制作与运营、动态设计等文化创意领域，课程包含美学设计、音视频编辑、视觉传达等，与数字内容生产行业相关，但技术导向更强于传媒属性。""}, {""name"": ""商贸零售"", ""score"": 35, ""reason"": ""数字媒体产品策划与运营能力可应用于电商平台界面设计和数字营销，但非主要就业方向，与商贸零售行业关联度有限。""}]"
M_023,数字媒体艺术设计,数字媒体学院,高职专科,True,2,轻工制造,85,轻工制造(85) | 机械设备(58) | 商业服务(45),轻工制造|机械设备|商业服务,"[{""name"": ""轻工制造"", ""score"": 85, ""reason"": ""职业面向明确标注'设计服务业、制造行业'，核心能力涵盖产品造型设计、产品结构设计、CMF设计（色彩、材料、工艺），参考书目均为电子产品设计、工业产品设计类教材，对应产品艺术设计师岗位，与轻工制造行业（消费电子产品、日用品制造业）高度契合。""}, {""name"": ""机械设备"", ""score"": 58, ""reason"": ""产品结构设计能力可应用于机械产品开发，但本专业侧重消费类产品外观与用户体验设计，而非大型机械设备设计，与机械设备行业匹配度中等偏下。""}, {""name"": ""商业服务"", ""score"": 45, ""reason"": ""设计服务业是明确的职业出口之一，但毕业生的核心竞争力在于产品设计技能而非纯服务业技能，主体就业应面向制造业的设计部门或设计公司。""}]"
M_024,环境艺术设计,数字媒体学院,高职专科,False,0,建筑业,95,建筑业(95) | 文化传媒(70) | 建材及非金属(55),建筑业|文化传媒|建材及非金属,"[{""name"": ""建筑业"", ""score"": 95, ""reason"": ""培养目标明确指向建筑装饰行业，岗位涵盖室内设计师、景观设计师、施工图设计师；核心课程包含室内景观设计、制图识图、装饰材料与构造、BIM技术；参与企业均为深圳市建筑装饰设计公司（如郑中设计、矩阵纵横等）。""}, {""name"": ""文化传媒"", ""score"": 70, ""reason"": ""培养目标提及文化创意行业，涵盖虚拟展示设计与创意设计方向；课程包含虚拟场景设计与制作、效果图设计等数字创意内容；但文化传媒非主要服务方向。""}, {""name"": ""建材及非金属"", ""score"": 55, ""reason"": ""核心课程包含装饰材料与构造教学内容，涉及装饰材料认知与应用；但该内容为辅助性课程，服务于室内设计主业，非主要行业方向。""}]"
M_025,虚拟现实技术应用,数字媒体学院,高职专科,False,0,信息技术,92,信息技术(92) | 文化传媒(75) | 商业服务(50),信息技术|文化传媒|商业服务,"[{""name"": ""信息技术"", ""score"": 92, ""reason"": ""培养目标明确指向信息技术服务行业，涵盖虚拟现实与增强现实技术开发、交互功能设计与开发、三维模型与动画制作、软硬件平台搭建调试；核心技能涵盖UI设计、交互设计、用户体验设计、数字图像处理等信息技术核心能力。""}, {""name"": ""文化传媒"", ""score"": 75, ""reason"": ""培养目标提及数字内容、教育培训、动漫游戏等行业方向；课程包含数字内容制作、三维动画特效、虚拟场景创意设计；虚拟现实技术广泛应用于数字内容创作与传播。""}, {""name"": ""商业服务"", ""score"": 50, ""reason"": ""培养目标涵盖技术开发与应用服务，虚拟现实作为专业技术服务工具可服务于各类商业应用场景；但商业服务属性相对间接。""}]"
M_026,工业设计,智能制造与装备学院,高职专科,False,0,机械设备,88,机械设备(88) | 信息技术(72) | 商贸零售(48),机械设备|信息技术|商贸零售,"[{""name"": ""机械设备"", ""score"": 88, ""reason"": ""培养目标面向工业与专业设计及其他专业技术服务行业；附录明确对应专用设备制造业、电气机械和器材制造业；核心课程包含产品外观造型设计、结构设计、人机工程应用、材料与工艺；职业技能涵盖SolidWorks三维建模、增材制造等制造业技能。""}, {""name"": ""信息技术"", ""score"": 72, ""reason"": ""培养目标包含产品用户界面设计岗位；课程涵盖二维三维数字化设计与表达、UI设计、数字化方法；涉及数字化和智能化发展需求的数字技能培养。""}, {""name"": ""商贸零售"", ""score"": 48, ""reason"": ""工业设计服务于产品开发与市场推广，涉及产品宣传推广、市场调研等商业环节；但商贸零售非直接服务主体，仅作为产品设计成果的应用领域。""}]"
M_027,工业软件开发技术,智能制造与装备学院,高职专科,True,1,信息技术,92,信息技术(92) | 机械设备(68) | 电力设备(38),信息技术|机械设备|电力设备,"[{""name"": ""信息技术"", ""score"": 92, ""reason"": ""培养目标明确指向'软件和信息技术服务业'，核心课程覆盖工业软件设计开发、MES系统、机器视觉、嵌入式系统、CAX二次开发等软件技术链，实训基地为'工业自动化教学工厂'，主要服务3C和工业装备制造类企业信息化岗位""}, {""name"": ""机械设备"", ""score"": 68, ""reason"": ""核心课程涉及PLC、工业机器人应用、机械制图与CAD、运动控制技术、工业人机界面等工业自动化和机械控制类课程，实训针对工业装备制造类企业，但软件技术仍是主导能力""}, {""name"": ""电力设备"", ""score"": 38, ""reason"": ""涉及电机控制技术、边缘计算等与电力设备相关的技术底层，但课程体系并非以电力设备制造为核心，属于辅助知识模块""}]"
M_028,智能光电制造技术,智能制造与装备学院,高职专科,False,0,信息技术,90,信息技术(90) | 机械设备(55) | 航空航天与国防(30),信息技术|机械设备|航空航天与国防,"[{""name"": ""信息技术"", ""score"": 90, ""reason"": ""培养目标直接定位'激光器及激光设备制造行业'，核心课程覆盖激光器调试检测、激光加工设备装调、激光加工工艺，Qichacha口径下激光设备制造属信息技术行业；校外合作企业大族激光、海目星均为光电信息类制造企业""}, {""name"": ""机械设备"", ""score"": 55, ""reason"": ""课程包含机械制图、计算机辅助制造、五轴激光加工等机械制造工艺，实训平台含数控激光加工协同创新中心，但激光设备的研发设计与光电集成是其核心，机械制造为支撑""}, {""name"": ""航空航天与国防"", ""score"": 30, ""reason"": ""飞秒激光超精密加工系统、精密制造技术等课程涉及航空航天制造工艺，但培养规格中未见明确的航空航天对口岗位，属于潜在交叉应用领域""}]"
M_029,智能控制技术,智能制造与装备学院,高职专科,True,1,机械设备,88,机械设备(88) | 信息技术(65) | 电力设备(42),机械设备|信息技术|电力设备,"[{""name"": ""机械设备"", ""score"": 88, ""reason"": ""培养目标明确面向'通用设备制造业、专用设备制造业'，核心课程覆盖PLC、工业机器人、变频器、伺服驱动、自动生产线等典型机械设备自动化控制技术，实训基地为'工业自动化教学工厂'，就业岗位为智能制造控制系统装调运维""}, {""name"": ""信息技术"", ""score"": 65, ""reason"": ""课程涉及工业互联网、数字孪生、数据采集与可视化、机器视觉等数字化技术，Qichacha口径下部分工业互联网平台归入信息技术，但本专业以硬件控制为核心，软件为辅助手段""}, {""name"": ""电力设备"", ""score"": 42, ""reason"": ""涉及电机控制技术、工业网络通信协议等内容与电力设备自动化控制相关，但专业定位不在电力设备制造，而在工业自动化控制系统""}]"
M_030,机械设计与制造,智能制造与装备学院,高职专科,False,0,机械设备,95,机械设备(95) | 电力设备(65) | 汽车(55),机械设备|电力设备|汽车,"[{""name"": ""机械设备"", ""score"": 95, ""reason"": ""培养目标明确指向智能制造行业，核心岗位包括机械设计工程师、精密制造工程师、机床装调维修工程师；核心课程涵盖数控加工、工业机器人、精密检测、三坐标测量等机械设备制造全链条；实训基地配备智能制造产线、数控加工中心等千余套设备；合作企业为制造业龙头企业。高度契合机械设备行业的机械装备设计与制造、数控技术应用等产业链环节。""}, {""name"": ""电力设备"", ""score"": 65, ""reason"": ""课程包含伺服电机控制、PLC技术、电气设计及运动控制、智能制造装备电气系统搭建等知识；毕业生可从事电气设计及运动控制相关岗位。电力设备行业中的电机驱动、自动化控制系统与该专业培养的电气控制技能存在一定交集。""}, {""name"": ""汽车"", ""score"": 55, ""reason"": ""机械设计与制造、数控编程与加工、精密制造等技能可应用于汽车零部件制造；质量控制工程师岗位与汽车行业质量管理体系契合；但汽车行业非该专业主要培养方向，关联度中等偏下。""}]"
M_031,园林工程技术,交通与环境学院,高职专科,False,0,环保,90,环保(90) | 建筑业(75) | 农林牧渔(45),环保|建筑业|农林牧渔,"[{""name"": ""环保"", ""score"": 90, ""reason"": ""培养目标面向园林绿化、景观设计、生态建设、城市更新行业；核心岗位包括园林工程设计、施工管理、养护运营；合作企业涵盖中节能铁汉生态、文科园林、国艺园林等生态环保龙头企业；实训内容涉及生态园林联合工程中心建设、生态修复、绿色建筑、智慧园林等；契合环保行业的生态修复、城市绿化、生态景观建设等产业链。""}, {""name"": ""建筑业"", ""score"": 75, ""reason"": ""培养目标包含园林工程施工技术与组织管理、园林景观工程运维；核心课程涵盖园林工程施工技术、工程组织与管理、工程造价与招投标；专业为中国园林绿化行业产教融合共同体副理事单位、深圳市风景园林协会理事单位；园林景观工程属于建筑业的细分领域。""}, {""name"": ""农林牧渔"", ""score"": 45, ""reason"": ""核心能力包含园林植物栽培养护、植物识别与应用、园林树木花卉的识别与栽植知识；涉及农业种植、绿化苗木培育等；但该专业主要服务于城市园林景观工程，侧重工程而非农林生产，关联度有限。""}]"
